numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20221007060000;102530;-100;8;160;2.100000;281.150000;279.950000;92;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101640;mq;mq;-430;280.750000;mq;286.050000;mq;280.550000;mq;mq;3.900000;4.100000;-10;0;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20221007060000;102530;-90;7;110;0.800000;280.150000;279.550000;96;24420;0;mq;mq;mq;0;mq;mq;mq;mq;101950;mq;mq;-380;280.150000;mq;286.750000;mq;280.350000;mq;mq;1.200000;1.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20221007060000;102380;-130;8;230;7.400000;288.350000;285.450000;83;12000;3;2;2;60;5;1750;32;20;10;102270;mq;mq;-580;288.250000;mq;288.850000;mq;mq;mq;mq;9.800000;9.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;8;1500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20221007060000;102580;-100;6;110;1.600000;278.150000;277.750000;97;15190;0;mq;mq;mq;0;mq;mq;mq;mq;101740;mq;mq;-530;278.050000;mq;287.650000;mq;283.450000;mq;mq;2.200000;4.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20221007060000;102640;-80;6;150;2.300000;278.650000;278.050000;96;20540;0;mq;mq;mq;0;mq;mq;mq;mq;100690;mq;mq;-460;278.550000;mq;286.750000;mq;282.950000;mq;mq;2.700000;3.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20221007060000;102700;-80;6;80;1.500000;276.650000;276.250000;97;8200;0;mq;mq;mq;0;mq;mq;mq;mq;101510;mq;mq;-400;276.250000;mq;284.450000;mq;275.850000;mq;mq;2.100000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20221007060000;102560;-100;6;200;2.000000;282.750000;282.650000;99;80;45;mq;mq;101;9;30;mq;mq;mq;101360;mq;mq;-580;281.550000;mq;286.450000;mq;278.750000;mq;mq;3.100000;3.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.400000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20221007060000;102490;-120;7;190;4.400000;283.950000;283.050000;94;20000;2;0;mq;40;0;5000;30;20;11;101780;mq;mq;-590;283.950000;mq;287.050000;mq;mq;mq;mq;6.700000;6.700000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;0;5000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20221007060000;102630;-70;6;0;0.000000;277.050000;277.050000;100;90;44;mq;mq;mq;0;mq;mq;mq;mq;102160;mq;mq;-580;277.050000;mq;288.450000;mq;276.050000;mq;mq;0.000000;1.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20221007060000;102680;-90;6;0;0.000000;275.650000;275.550000;99;9400;0;mq;mq;mq;0;mq;mq;mq;mq;100860;mq;mq;-550;275.450000;mq;286.250000;mq;284.050000;mq;mq;0.000000;0.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
